Median Household Income,Total Population,Female Population,Male Population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),state,county,tract
78661.0,2118.0,1074.0,1044.0,73.0,11.0,0.0,44.0,78.0,0.0,0.0,21.0,67.0,84.0,285.0,13.0,83.0,14.0,75.0,0.0,27.0,742.0,95.0,59.0,1021.0,50.0,97.0,54.0,159.0,06,075,010101
-666666666.0,1783.0,1021.0,762.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,184.0,44.0,104.0,9.0,43.0,0.0,38.0,99.0,0.0,19.0,402.0,300.0,0.0,814.0,0.0,232.0,35.0,250.0,06,075,010102
159647.0,2499.0,1224.0,1275.0,15.0,0.0,26.0,47.0,22.0,0.0,0.0,86.0,220.0,234.0,143.0,14.0,57.0,65.0,55.0,29.0,25.0,1905.0,201.0,0.0,168.0,0.0,20.0,205.0,155.0,06,075,010201
192500.0,1891.0,931.0,960.0,14.0,14.0,0.0,13.0,0.0,1.0,0.0,44.0,131.0,117.0,170.0,63.0,57.0,46.0,31.0,54.0,31.0,1441.0,53.0,0.0,223.0,17.0,0.0,157.0,1.0,06,075,010202
136643.0,3996.0,1952.0,2044.0,18.0,1.0,82.0,0.0,50.0,0.0,0.0,58.0,376.0,278.0,167.0,101.0,149.0,143.0,62.0,12.0,150.0,2744.0,0.0,91.0,1049.0,0.0,25.0,87.0,253.0,06,075,010300
115170.0,2202.0,1121.0,1081.0,33.0,13.0,58.0,59.0,0.0,11.0,0.0,11.0,95.0,176.0,65.0,140.0,69.0,41.0,115.0,31.0,55.0,1191.0,12.0,1.0,458.0,12.0,0.0,528.0,401.0,06,075,010401
176192.0,2292.0,944.0,1348.0,0.0,29.0,66.0,0.0,0.0,0.0,0.0,2.0,147.0,194.0,160.0,62.0,31.0,47.0,126.0,65.0,123.0,1547.0,0.0,0.0,486.0,0.0,20.0,239.0,162.0,06,075,010402
155769.0,3430.0,1708.0,1722.0,112.0,130.0,32.0,0.0,0.0,12.0,8.0,22.0,180.0,182.0,165.0,50.0,96.0,161.0,51.0,51.0,31.0,1805.0,162.0,0.0,1229.0,0.0,66.0,168.0,138.0,06,075,010500
68235.0,3277.0,1358.0,1919.0,0.0,36.0,43.0,30.0,9.0,31.0,0.0,166.0,310.0,238.0,69.0,139.0,109.0,106.0,181.0,90.0,34.0,1166.0,104.0,0.0,1751.0,0.0,43.0,213.0,238.0,06,075,010600
22345.0,3458.0,1983.0,1475.0,0.0,15.0,139.0,0.0,14.0,0.0,0.0,51.0,158.0,80.0,0.0,101.0,31.0,91.0,27.0,159.0,87.0,118.0,0.0,5.0,3335.0,0.0,0.0,0.0,32.0,06,075,010701
73542.0,1584.0,1018.0,566.0,27.0,38.0,16.0,3.0,0.0,0.0,0.0,0.0,46.0,0.0,173.0,12.0,53.0,8.0,19.0,17.0,20.0,448.0,0.0,35.0,796.0,0.0,168.0,137.0,203.0,06,075,010702
133958.0,4999.0,2394.0,2605.0,115.0,74.0,0.0,0.0,0.0,0.0,0.0,30.0,399.0,476.0,269.0,161.0,101.0,26.0,76.0,221.0,149.0,2594.0,272.0,0.0,1809.0,0.0,51.0,273.0,195.0,06,075,010800
154767.0,1948.0,1157.0,791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,143.0,247.0,62.0,19.0,63.0,63.0,18.0,9.0,0.0,1377.0,0.0,0.0,378.0,0.0,0.0,193.0,255.0,06,075,010901
