Fuel Type Code,Station Name,Street Address,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Access Code,Access Detail Code,Federal Agency Code,Facility Type,EV Pricing,EV On-Site Renewable Source,Restricted Access,Maximum Vehicle Class,EV Workplace Charging
ELEC,Dr. George W. Davis Senior Center,1751 Carroll Ave,San Francisco,CA,"94124",,888-998-2546,E,,Public,24 hours daily,,,,,,"2",,,Blink Network,http://www.blinkcharging.com/,GPS,"37.725662","-122.395556",2023/12/03,"168116",2023/12/03 00:01:23,,,,2020/11/04,,,,,J1772,US,public,,,,Free,,,,false
ELEC,Alice Griffith Apartments - 2700,"2700 Arelious Walker Dr,",San Francisco,CA,"94124",,888-998-2546,E,,Public,24 hours daily,,,,,,"2",,,Blink Network,http://www.blinkcharging.com/,GPS,"37.71823","-122.385519",2023/12/03,"167873",2023/12/03 00:02:51,,,,2020/10/28,,,,,J1772,US,public,,,,Free,,,,false
ELEC,Alice Griffith Apartments - 2600,"2600 Arelious Walker Dr,",San Francisco,CA,"94124",,888-998-2546,E,,Public,24 hours daily,,,,,,"2",,,Blink Network,http://www.blinkcharging.com/,GPS,"37.71823","-122.385519",2023/12/03,"222537",2023/12/03 00:02:51,,,,2022/07/05,,,,,J1772,US,public,,,,Free,,,,false
ELEC,Plant Construction,300 Newhall Street,San Francisco,CA,"94126",,888-998-2546,E,,Public,24 hours daily,,,,,,"7",,,Blink Network,http://www.blinkcharging.com/,GPS,"37.7426395","-122.3856749",2023/12/03,"309780",2023/12/03 00:02:29,,,,2011/12/30,,,,,J1772,US,public,,,,,,,,false
ELEC,Caltrans - District 32,120 Rickard St,San Francisco,CA,"94134",,,E,,Private,Employee and state vehicle use only,,,,,,"10",,,EV Connect,http://evconnect.com/,200-8,"37.73345","-122.409883",2022/01/10,"71907",2022/02/10 19:42:29,SG,,,2017/12/04,,,,,J1772,US,private,,,STATE_GOV,,,,,true
ELEC,Extra Space Storage,2501 Cesar Chavez St,San Francisco,CA,"94124",,415-404-8605,E,,Public - Call ahead,7am-7pm M-Sat,,,,,,"1",,,Non-Networked,,GPS,"37.749068","-122.402416",2023/09/14,"64775",2023/09/14 14:01:49,T,,,2014/09/01,,,,,J1772,US,public,CALL,,STORAGE,Free,,false,LD,false
ELEC,Zum Services Inc - Davidson Ave,1645 Davidson Ave,San Francisco,CA,"94124",,888-998-2546,E,,Public,24 hours daily,,,,,,"1",,,Blink Network,http://www.blinkcharging.com/,GPS,"37.74553","-122.39272",2023/12/03,"257437",2023/12/03 00:01:28,,,,2023/03/02,,,,,J1772,US,public,,,,,,,,false
ELEC,Owens Street  Garage,1835 Owens St,San Francisco,CA,"94158",,888-264-2208,E,,Public,"Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm",,,,,,"2",,,Volta,https://voltacharging.com/,GPS,"37.765967","-122.3922545",2023/12/03,"151243",2023/12/03 01:00:26,,,,2017/01/11,,,,,J1772,US,public,,,,,,false,,false
ELEC,"LONGFELLOW 1800 6 (67,86)",1800 Owens St,San Francisco,CA,"94158",,888-758-4389,E,,Public,24 hours daily,,,,,,"2",,,ChargePoint Network,http://www.chargepoint.com/,GPS,"37.765729","-122.392587",2023/12/03,"159485",2023/12/03 00:17:16,,,,2020/06/12,,,,,J1772,US,public,,,,,,,,false
ELEC,ARE-ILLINOIS ST STATION 1,1830 3rd St,San Francisco,CA,"94158",,888-758-4389,E,,Public,24 hours daily,,,,,,"2",,,ChargePoint Network,http://www.chargepoint.com/,GPS,"37.766239","-122.389711",2023/12/03,"160634",2023/12/03 00:09:23,,,,2020/06/12,,,,,J1772,US,public,,,,,,,,false
